epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.312,0.9824,3.53929,1.38737,0.73721,0.86722,0.84143,0.71231,0.6654,3.13119,1.04046,0.000326531,0.000326531,0.000326531
2,562.342,0.99635,1.40262,1.34391,0.75796,0.81389,0.88897,0.72643,0.77989,1.77004,1.14264,0.000653331,0.000653331,0.000653331
3,850.613,0.99185,1.16908,1.32264,0.78748,0.49583,0.70848,0.5642,0.82137,2.74714,1.21349,0.000973532,0.000973532,0.000973532
4,1140.83,1.03199,1.20243,1.35665,0.73241,0.93117,0.9299,0.70371,0.8428,2.52857,1.16664,0.0009703,0.0009703,0.0009703
5,1427.32,1.02709,0.96028,1.3555,0.86698,0.85077,0.96611,0.78585,0.84431,1.24695,1.16731,0.0009604,0.0009604,0.0009604
6,1746.53,1.01275,0.88574,1.33734,0.89468,0.91528,0.995,0.80785,0.68349,1.44775,1.06798,0.0009505,0.0009505,0.0009505
7,2087.4,0.99504,0.85082,1.30031,0.84175,0.92027,0.9352,0.7997,0.68716,1.08791,1.08592,0.0009406,0.0009406,0.0009406
8,2417.3,0.96919,0.85381,1.3124,0.92526,0.87401,0.95127,0.82137,0.67101,0.89799,1.0689,0.0009307,0.0009307,0.0009307
9,2747.17,0.97235,0.74057,1.28833,0.87492,0.94471,0.97897,0.81438,0.77818,0.73153,1.11111,0.0009208,0.0009208,0.0009208
10,3073.84,1.02532,0.78756,1.30526,0.82823,0.91918,0.95285,0.80156,0.68629,0.93302,1.04771,0.0009109,0.0009109,0.0009109
11,3524.32,0.9655,0.73376,1.25054,0.9245,0.94475,0.99278,0.81857,0.77606,0.65195,1.09164,0.000901,0.000901,0.000901
12,3849.36,0.94641,0.71429,1.27383,0.95301,0.90178,0.995,0.87005,0.63966,0.63166,1.03244,0.0008911,0.0008911,0.0008911
13,4172.07,0.90764,0.6707,1.24804,0.90611,0.97322,0.995,0.86725,0.60495,0.59992,1.01266,0.0008812,0.0008812,0.0008812
14,4547.63,0.92242,0.6853,1.23916,0.95155,0.96302,0.995,0.89363,0.50014,0.53023,0.97978,0.0008713,0.0008713,0.0008713
15,4871.5,0.90951,0.6757,1.24974,0.86899,0.93472,0.98563,0.87965,0.58952,0.57337,0.97931,0.0008614,0.0008614,0.0008614
16,5194.7,0.86021,0.6241,1.2278,0.88014,0.9697,0.98008,0.89428,0.49381,0.52203,0.93188,0.0008515,0.0008515,0.0008515
17,5518.29,0.82879,0.58072,1.1766,0.91178,0.91749,0.991,0.87595,0.55121,0.56651,0.96346,0.0008416,0.0008416,0.0008416
18,6098.81,0.84289,0.58558,1.22732,0.90992,0.96405,0.98567,0.87887,0.56619,0.65027,0.98497,0.0008317,0.0008317,0.0008317
19,6422.63,0.87893,0.6142,1.22984,0.89361,0.98248,0.97,0.83602,0.62383,0.47217,1.01806,0.0008218,0.0008218,0.0008218
20,6745.99,0.78642,0.55756,1.17386,0.89823,0.95715,0.97452,0.87485,0.49226,0.50824,0.94593,0.0008119,0.0008119,0.0008119
21,7154.27,0.85015,0.5957,1.18427,0.90854,0.99088,0.97,0.87929,0.48927,0.48365,0.95201,0.000802,0.000802,0.000802
22,7701.29,0.8741,0.60587,1.21288,0.88552,0.99503,0.98389,0.88243,0.53303,0.49798,0.96447,0.0007921,0.0007921,0.0007921
23,8247.55,0.84233,0.64411,1.20305,0.91633,0.93013,0.96444,0.87214,0.54112,0.4889,0.95844,0.0007822,0.0007822,0.0007822
24,8611.03,0.83793,0.58065,1.19426,0.92915,0.98448,0.98944,0.90327,0.50669,0.47265,0.95995,0.0007723,0.0007723,0.0007723
25,8876.35,0.80855,0.52133,1.17975,0.92436,0.98209,0.995,0.92044,0.47841,0.4146,0.92696,0.0007624,0.0007624,0.0007624
26,9141.36,0.81235,0.56274,1.18326,0.89482,0.97735,0.97833,0.86358,0.49234,0.44329,0.94597,0.0007525,0.0007525,0.0007525
27,9414.09,0.81936,0.57179,1.19993,0.86595,0.9656,0.95125,0.87773,0.4606,0.51746,0.91516,0.0007426,0.0007426,0.0007426
28,9701.44,0.8041,0.53973,1.16163,0.86787,1,0.96611,0.88434,0.51952,0.47223,0.95966,0.0007327,0.0007327,0.0007327
29,9993.92,0.79286,0.5223,1.16847,0.87622,0.95591,0.98944,0.89461,0.53156,0.47242,0.95287,0.0007228,0.0007228,0.0007228
30,10287.5,0.75529,0.52764,1.14784,0.94943,0.94881,0.995,0.92112,0.45253,0.39199,0.91259,0.0007129,0.0007129,0.0007129
31,10583.8,0.79621,0.53291,1.16904,0.93022,0.99177,0.98389,0.89706,0.48519,0.41433,0.93517,0.000703,0.000703,0.000703
32,10878.8,0.76493,0.48821,1.15879,0.93828,0.99157,0.98389,0.91265,0.50837,0.38629,0.93929,0.0006931,0.0006931,0.0006931
33,11173.5,0.75856,0.49465,1.14862,0.86736,0.97234,0.96778,0.89537,0.45527,0.43641,0.91437,0.0006832,0.0006832,0.0006832
34,11467.4,0.72987,0.47578,1.13993,0.90647,0.99418,0.95889,0.86843,0.45143,0.3924,0.91932,0.0006733,0.0006733,0.0006733
35,11761.9,0.70782,0.48019,1.11014,0.91656,0.9615,0.96444,0.88606,0.51353,0.40898,0.95878,0.0006634,0.0006634,0.0006634
36,12055.3,0.73472,0.51279,1.16035,0.92063,0.9611,0.98008,0.908,0.46335,0.37673,0.9258,0.0006535,0.0006535,0.0006535
37,12349.3,0.68684,0.4633,1.11676,0.90998,0.95593,0.97452,0.90325,0.45213,0.38205,0.9093,0.0006436,0.0006436,0.0006436
38,12642.5,0.7016,0.47003,1.12016,0.95354,0.96554,0.98389,0.9214,0.44432,0.35821,0.89451,0.0006337,0.0006337,0.0006337
39,12934.7,0.69947,0.46853,1.13096,0.892,1,0.98944,0.93393,0.45902,0.40521,0.9224,0.0006238,0.0006238,0.0006238
40,13222,0.69786,0.46481,1.1193,0.93361,0.97236,0.98389,0.94747,0.3766,0.37978,0.88105,0.0006139,0.0006139,0.0006139
41,13503.1,0.67453,0.47188,1.11362,0.93853,0.98983,0.96736,0.9035,0.43674,0.37804,0.90331,0.000604,0.000604,0.000604
42,13784.6,0.65828,0.43895,1.11435,0.93028,0.94358,0.97214,0.91601,0.45929,0.39036,0.91163,0.0005941,0.0005941,0.0005941
43,14063.7,0.6749,0.45315,1.10484,0.89147,1,0.96643,0.93008,0.39323,0.38612,0.87797,0.0005842,0.0005842,0.0005842
44,14339.1,0.63112,0.42722,1.08936,0.8759,0.98761,0.97714,0.94415,0.39292,0.39331,0.8699,0.0005743,0.0005743,0.0005743
45,14607.2,0.65996,0.42456,1.10032,0.8226,0.97149,0.97159,0.93415,0.38364,0.43845,0.87996,0.0005644,0.0005644,0.0005644
46,14881.1,0.64061,0.40508,1.08853,0.87271,1,0.98111,0.93342,0.37939,0.40814,0.87244,0.0005545,0.0005545,0.0005545
47,15146.2,0.65022,0.43469,1.09857,0.89538,0.99882,0.98548,0.92834,0.41579,0.37133,0.87895,0.0005446,0.0005446,0.0005446
48,15416,0.65351,0.42889,1.10638,0.92044,1,0.98389,0.91853,0.44847,0.36756,0.92515,0.0005347,0.0005347,0.0005347
49,15679.7,0.62603,0.41784,1.0909,0.89551,0.94776,0.98548,0.95072,0.37492,0.37638,0.86373,0.0005248,0.0005248,0.0005248
50,15944.7,0.63031,0.41368,1.06715,0.93611,0.94997,0.98548,0.93832,0.37559,0.35357,0.87168,0.0005149,0.0005149,0.0005149
51,16205.1,0.66077,0.42198,1.09986,0.85478,0.94583,0.9537,0.90003,0.38985,0.45731,0.87266,0.000505,0.000505,0.000505
52,16471.7,0.64008,0.41025,1.06565,0.91683,0.94677,0.98389,0.92287,0.35087,0.36248,0.8681,0.0004951,0.0004951,0.0004951
53,16727.2,0.62772,0.41143,1.0784,0.91957,1,0.98944,0.93244,0.42315,0.351,0.88112,0.0004852,0.0004852,0.0004852
54,16977.8,0.63741,0.42061,1.0872,0.93356,0.99423,0.98944,0.93682,0.40701,0.33272,0.87382,0.0004753,0.0004753,0.0004753
55,17232.7,0.60854,0.387,1.07728,0.92444,0.99619,0.98944,0.93029,0.4278,0.31827,0.89376,0.0004654,0.0004654,0.0004654
56,17487.7,0.64475,0.40069,1.1122,0.94104,1,0.98944,0.9211,0.39645,0.30696,0.88011,0.0004555,0.0004555,0.0004555
57,17741.3,0.67213,0.40992,1.09965,0.95322,1,0.995,0.9385,0.40817,0.2916,0.89075,0.0004456,0.0004456,0.0004456
58,17990.9,0.63617,0.38635,1.09191,0.94227,1,0.98944,0.93486,0.39236,0.28988,0.87725,0.0004357,0.0004357,0.0004357
59,18242.3,0.60895,0.38647,1.09522,0.89194,0.97359,0.97833,0.94149,0.36095,0.36601,0.86551,0.0004258,0.0004258,0.0004258
60,18493.1,0.57334,0.36887,1.03305,0.92102,1,0.97833,0.95149,0.34913,0.32873,0.85887,0.0004159,0.0004159,0.0004159
61,18742.1,0.59938,0.38037,1.0628,0.93814,0.99532,0.98944,0.95735,0.32583,0.29265,0.84687,0.000406,0.000406,0.000406
62,18992.7,0.60928,0.38207,1.07286,0.98032,0.9909,0.995,0.93999,0.35328,0.25625,0.86339,0.0003961,0.0003961,0.0003961
63,19241.3,0.58028,0.3856,1.05354,0.95177,1,0.995,0.95324,0.36948,0.27583,0.86374,0.0003862,0.0003862,0.0003862
64,19490.8,0.58776,0.38345,1.06709,0.8783,0.96692,0.98548,0.93778,0.39478,0.35281,0.85722,0.0003763,0.0003763,0.0003763
65,19739.2,0.56552,0.37174,1.03945,0.90574,0.98242,0.98944,0.94435,0.35543,0.31374,0.86235,0.0003664,0.0003664,0.0003664
66,19987.2,0.60276,0.37311,1.07666,0.93287,1,0.98944,0.96237,0.35959,0.28816,0.86348,0.0003565,0.0003565,0.0003565
67,20236,0.5731,0.37609,1.04794,0.94074,1,0.995,0.94966,0.40535,0.2853,0.87898,0.0003466,0.0003466,0.0003466
68,20484.3,0.53954,0.34879,1.02913,0.86503,0.96997,0.98944,0.95751,0.33024,0.34353,0.84573,0.0003367,0.0003367,0.0003367
69,20731.9,0.53772,0.34573,1.02928,0.91827,0.98092,0.97833,0.93944,0.33411,0.31171,0.84951,0.0003268,0.0003268,0.0003268
70,20980.2,0.55721,0.36166,1.03395,0.95354,1,0.97833,0.94402,0.31817,0.24391,0.83646,0.0003169,0.0003169,0.0003169
71,21229,0.54233,0.3607,1.04176,0.95075,1,0.98944,0.96225,0.33442,0.25792,0.84549,0.000307,0.000307,0.000307
72,21477.1,0.52674,0.3343,1.02739,0.94569,0.99488,0.98389,0.95556,0.33157,0.25228,0.84701,0.0002971,0.0002971,0.0002971
73,21725.7,0.53503,0.34033,1.02659,0.93641,0.98779,0.98944,0.96045,0.36436,0.27439,0.85232,0.0002872,0.0002872,0.0002872
74,21974,0.55254,0.35476,1.05658,0.89782,0.98318,0.98944,0.94914,0.34054,0.30865,0.84605,0.0002773,0.0002773,0.0002773
75,22221.9,0.5336,0.33177,1.02599,0.86911,0.94516,0.98722,0.94299,0.33897,0.35166,0.84324,0.0002674,0.0002674,0.0002674
76,22470.4,0.50786,0.33441,1.03032,0.8848,0.98595,0.98944,0.96003,0.33785,0.29646,0.8466,0.0002575,0.0002575,0.0002575
77,22719.2,0.53025,0.33175,1.02677,0.90711,0.98278,0.98944,0.95422,0.32304,0.30407,0.84289,0.0002476,0.0002476,0.0002476
78,22967.7,0.53627,0.32654,1.03681,0.91797,0.98117,0.98944,0.95888,0.32411,0.29041,0.84408,0.0002377,0.0002377,0.0002377
79,23216,0.49597,0.32707,1.00964,0.9378,0.97435,0.98944,0.95596,0.31218,0.26043,0.84089,0.0002278,0.0002278,0.0002278
80,23464.5,0.50018,0.32402,1.03561,0.94014,0.96667,0.98944,0.96586,0.29905,0.26177,0.83149,0.0002179,0.0002179,0.0002179
81,23712.4,0.49214,0.31612,1.01032,0.94519,1,0.98944,0.95583,0.33678,0.24513,0.84677,0.000208,0.000208,0.000208
82,23960.1,0.49413,0.31823,1.01936,0.94222,1,0.995,0.9625,0.33859,0.25846,0.84531,0.0001981,0.0001981,0.0001981
83,27590.9,0.50715,0.3356,1.01989,0.91916,0.99197,0.98944,0.9592,0.32576,0.27841,0.83953,0.0001882,0.0001882,0.0001882
84,27916.3,0.46829,0.30196,0.99435,0.86233,0.97057,0.98389,0.95552,0.32735,0.3519,0.83854,0.0001783,0.0001783,0.0001783
85,29269.2,0.5058,0.32654,1.01402,0.92727,0.96498,0.98389,0.95675,0.32553,0.30852,0.83925,0.0001684,0.0001684,0.0001684
86,29560.9,0.48745,0.30154,1.01049,0.95225,1,0.98944,0.96139,0.34466,0.24905,0.84172,0.0001585,0.0001585,0.0001585
87,29809.5,0.48445,0.30942,1.02817,0.95372,1,0.98944,0.9594,0.32811,0.23873,0.83695,0.0001486,0.0001486,0.0001486
88,30080.2,0.471,0.30611,1.01373,0.94067,0.9935,0.98944,0.95734,0.30358,0.23803,0.82788,0.0001387,0.0001387,0.0001387
89,30358.1,0.48206,0.31486,1.00246,0.91136,0.97203,0.98944,0.96334,0.32069,0.26229,0.83325,0.0001288,0.0001288,0.0001288
90,30635.7,0.46005,0.28386,0.97712,0.9108,0.97332,0.98944,0.96741,0.3043,0.29143,0.82829,0.0001189,0.0001189,0.0001189
91,30911.2,0.43206,0.25501,1.00762,0.89356,0.99041,0.98944,0.96862,0.32299,0.30968,0.8328,0.000109,0.000109,0.000109
92,31191.9,0.42435,0.24587,0.97264,0.91244,0.98601,0.98944,0.96392,0.32539,0.3094,0.83703,9.91e-05,9.91e-05,9.91e-05
93,31471.5,0.40932,0.23672,0.97476,0.91482,0.97513,0.98944,0.96222,0.32896,0.31216,0.84334,8.92e-05,8.92e-05,8.92e-05
94,31765.3,0.38947,0.24391,0.96456,0.91631,0.9833,0.98944,0.96175,0.30738,0.28963,0.83702,7.93e-05,7.93e-05,7.93e-05
95,32044.5,0.39817,0.25132,0.95747,0.9239,0.99581,0.98944,0.96425,0.30475,0.27747,0.83536,6.94e-05,6.94e-05,6.94e-05
96,32346.3,0.36957,0.22859,0.95644,0.93022,0.99877,0.98944,0.9508,0.31708,0.26786,0.83793,5.95e-05,5.95e-05,5.95e-05
97,32626.4,0.39259,0.23382,0.97206,0.92565,0.99293,0.98944,0.95669,0.30367,0.26379,0.83648,4.96e-05,4.96e-05,4.96e-05
98,32919,0.35909,0.21796,0.92597,0.92568,0.98383,0.98944,0.96317,0.30045,0.26213,0.83566,3.97e-05,3.97e-05,3.97e-05
99,33208.6,0.36938,0.21752,0.95329,0.92544,0.97907,0.98944,0.97096,0.29653,0.2623,0.83211,2.98e-05,2.98e-05,2.98e-05
100,33502.3,0.37516,0.22572,0.95496,0.92351,0.9765,0.98944,0.97106,0.29468,0.26167,0.82971,1.99e-05,1.99e-05,1.99e-05
