epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,733.892,0.78116,0.60715,1.04267,0.88165,0.94124,0.97528,0.8727,0.60278,0.48441,0.86814,0.000328042,0.000328042,0.000328042
2,1451.14,0.7702,0.49751,1.02326,0.81535,0.97862,0.96863,0.84655,0.66447,0.48631,0.87182,0.00064828,0.00064828,0.00064828
3,2145.81,0.76144,0.54576,1.00251,0.80594,0.92006,0.94187,0.82587,0.58179,0.5504,0.86814,0.000955319,0.000955319,0.000955319
4,2825.71,0.80021,0.55726,1.0171,0.85984,0.98395,0.98599,0.86283,0.5756,0.54508,0.87797,0.0009406,0.0009406,0.0009406
5,3501.17,0.78335,0.61317,1.02409,0.86893,0.99106,0.97,0.85677,0.58724,0.51067,0.88854,0.0009208,0.0009208,0.0009208
6,4165.41,0.76466,0.54357,1.01956,0.95684,0.96609,0.995,0.89946,0.51182,0.41197,0.87111,0.000901,0.000901,0.000901
7,4818.19,0.7639,0.52914,1.01571,0.92811,0.98534,0.99404,0.84499,0.66218,0.46195,0.90751,0.0008812,0.0008812,0.0008812
8,5468.28,0.74026,0.47456,1.00839,0.9394,0.9813,0.98901,0.86748,0.58738,0.43762,0.88178,0.0008614,0.0008614,0.0008614
9,6119.66,0.76325,0.49105,1.01097,0.92768,0.9821,0.995,0.86199,0.61759,0.42417,0.90794,0.0008416,0.0008416,0.0008416
10,6768.83,0.75092,0.49282,1.02809,0.91878,0.95548,0.98944,0.88211,0.51297,0.40327,0.8791,0.0008218,0.0008218,0.0008218
11,7417.86,0.73291,0.49274,1.01601,0.95394,0.96405,0.995,0.88678,0.56335,0.39595,0.8735,0.000802,0.000802,0.000802
12,8060.68,0.73691,0.48009,1.001,0.88419,1,0.98944,0.90277,0.51355,0.3923,0.86124,0.0007822,0.0007822,0.0007822
13,8704.21,0.70019,0.48152,1.0067,0.92676,0.98278,0.99456,0.89468,0.54113,0.41012,0.88611,0.0007624,0.0007624,0.0007624
14,9349.5,0.71821,0.45354,1.02329,0.91645,0.9826,0.9936,0.8863,0.51369,0.39114,0.86939,0.0007426,0.0007426,0.0007426
15,9989.32,0.70329,0.45052,0.99197,0.88289,0.99814,0.98548,0.87849,0.56069,0.37015,0.87315,0.0007228,0.0007228,0.0007228
16,10630.4,0.66433,0.42402,0.98871,0.91161,1,0.98389,0.85393,0.47919,0.34168,0.86441,0.000703,0.000703,0.000703
17,11275.8,0.68845,0.43439,0.97901,0.87359,0.98308,0.98008,0.881,0.48108,0.379,0.85922,0.0006832,0.0006832,0.0006832
18,11921.9,0.64295,0.41285,0.96784,0.9237,0.99968,0.98944,0.90565,0.48923,0.3382,0.86891,0.0006634,0.0006634,0.0006634
19,12566.7,0.6413,0.43873,0.98421,0.87884,0.98179,0.97472,0.90601,0.49941,0.38924,0.86762,0.0006436,0.0006436,0.0006436
20,13214.2,0.64375,0.41038,0.96948,0.91873,0.99028,0.98944,0.91026,0.51593,0.35173,0.91222,0.0006238,0.0006238,0.0006238
21,13854.7,0.63711,0.41416,0.96942,0.92978,0.9823,0.99193,0.91339,0.466,0.31317,0.84702,0.000604,0.000604,0.000604
22,14493.2,0.64197,0.39647,0.99071,0.93069,1,0.995,0.91754,0.47998,0.32902,0.85288,0.0005842,0.0005842,0.0005842
23,15135.8,0.64426,0.39838,0.96563,0.91439,0.99204,0.99052,0.9245,0.47274,0.33148,0.84832,0.0005644,0.0005644,0.0005644
24,15774.5,0.61831,0.39565,0.97713,0.94666,0.99554,0.995,0.91024,0.45485,0.32323,0.85032,0.0005446,0.0005446,0.0005446
